lineup,lineup_id,season
"Ariel Atkins, Kim Mestdagh, Myisha Hines-Allen, Shatori Walker-Kimbrough, Tianna Hawkins",146,2019
"Allie Quigley, Courtney Vandersloot, Diamond DeShields, Gabby Williams, Stefanie Dolson",147,2019
"Damiris Dantas, Danielle Robinson, Napheesa Collier, Odyssey Sims, Sylvia Fowles",148,2019
"Allie Quigley, Courtney Vandersloot, Gabby Williams, Kahleah Copper, Stefanie Dolson",149,2019
"Damiris Dantas, Jessica Shepard, Napheesa Collier, Odyssey Sims, Sylvia Fowles",150,2019
"Courtney Vandersloot, Gabby Williams, Jantel Lavender, Kahleah Copper, Stefanie Dolson",151,2019
"Damiris Dantas, Jessica Shepard, Lexie Brown, Napheesa Collier, Odyssey Sims",152,2019
"Courtney Vandersloot, Gabby Williams, Jantel Lavender, Kahleah Copper, Katie Lou Samuelson",153,2019
"Damiris Dantas, Jessica Shepard, Lexie Brown, Napheesa Collier, Sylvia Fowles",154,2019
"Cheyenne Parker, Courtney Vandersloot, Jantel Lavender, Kahleah Copper, Katie Lou Samuelson",155,2019
"Danielle Robinson, Jessica Shepard, Lexie Brown, Napheesa Collier, Sylvia Fowles",156,2019
"Danielle Robinson, Jessica Shepard, Lexie Brown, Stephanie Talbot, Sylvia Fowles",157,2019
"Damiris Dantas, Danielle Robinson, Lexie Brown, Stephanie Talbot, Sylvia Fowles",158,2019
"Cheyenne Parker, Courtney Vandersloot, Diamond DeShields, Jantel Lavender, Kahleah Copper",159,2019
"Cheyenne Parker, Chloe Jackson, Diamond DeShields, Jantel Lavender, Kahleah Copper",160,2019
"Cheyenne Parker, Chloe Jackson, Jantel Lavender, Kahleah Copper, Stefanie Dolson",161,2019
"Cheyenne Parker, Chloe Jackson, Gabby Williams, Jantel Lavender, Stefanie Dolson",162,2019
"Danielle Robinson, Jessica Shepard, Napheesa Collier, Odyssey Sims, Sylvia Fowles",163,2019
"Allie Quigley, Chloe Jackson, Gabby Williams, Jantel Lavender, Stefanie Dolson",164,2019
